wake_forward_response,doppler_forward_response
-9.915599183392816984e-01,1.026948823927162913e+00
-5.135468132840879107e-01,6.801916833172452215e-01
-9.466918777239077820e-02,3.279817131553453557e-01
-2.571204023122129409e-02,2.192220922977123898e-01
-4.520263653652019376e-02,1.916004697144043090e-01
-3.326473711219930102e-03,1.206075662299856271e-01
-9.005062733714417345e-01,9.913852745781397413e-01
-4.588585446231505105e-01,6.518241950829013476e-01
-7.839673503332182658e-02,3.062999608084714387e-01
-2.098368310337155040e-02,2.071441761842626739e-01
-3.898367062286007406e-02,1.758147258372030619e-01
-2.922304136788815218e-03,1.102438877193731293e-01
-7.250633656429439355e-01,9.187347483746622911e-01
-3.673186960154076197e-01,6.049735452185778239e-01
-5.972835047281763871e-02,2.833703531767873263e-01
-1.554055189577985795e-02,1.893340003731419086e-01
-3.089213011468233336e-02,1.595921138328293964e-01
-2.308962512796542549e-03,9.944826467768781708e-02
