zlo,zhi,z_effective,s_Mpc_over_h,xi0_proxy,xi1_proxy_odd
1.000000000000000056e-01,2.000000000000000111e-01,1.599451624497300328e-01,3.000000000000000000e+01,1.010400567020348361e-01,3.868381384454196853e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.599451624497300328e-01,5.000000000000000000e+01,1.583157136411030702e-02,1.844447686279372667e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.599451624497300328e-01,7.000000000000000000e+01,-1.522200117406678755e-04,-6.297295221003744448e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.599451624497300328e-01,9.000000000000000000e+01,1.897240402432648744e-03,-6.739282087869744552e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.599451624497300328e-01,1.100000000000000000e+02,-3.224755923882196597e-03,-6.127264400631090256e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.599451624497300328e-01,1.300000000000000000e+02,1.328180290756127277e-03,7.236794940480974735e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.557404621372283970e-01,3.000000000000000000e+01,9.526296505484742327e-02,-1.928264509533000534e-02
2.000000000000000111e-01,2.999999999999999889e-01,2.557404621372283970e-01,5.000000000000000000e+01,2.481704906932431787e-02,-9.186737702277165615e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.557404621372283970e-01,7.000000000000000000e+01,8.835174239053496942e-03,-8.696202555449296032e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.557404621372283970e-01,9.000000000000000000e+01,1.114197220061636552e-02,-5.055795766056945389e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.557404621372283970e-01,1.100000000000000000e+02,3.037576450582635170e-04,-3.203237690554439857e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.557404621372283970e-01,1.300000000000000000e+02,-2.086743837482283453e-03,4.899338020702042121e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538075268431773446e-01,3.000000000000000000e+01,1.059061065875940844e-01,-2.363481091299160248e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538075268431773446e-01,5.000000000000000000e+01,2.904132913975205482e-02,1.737320184314973537e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538075268431773446e-01,7.000000000000000000e+01,6.036935028524985543e-03,-7.587471016299940710e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538075268431773446e-01,9.000000000000000000e+01,4.790971597046760760e-03,-2.276305380362621776e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538075268431773446e-01,1.100000000000000000e+02,1.542207930781446358e-03,1.938544059700157522e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538075268431773446e-01,1.300000000000000000e+02,-1.438598541090206628e-03,-2.769025513556119225e-04
