wake_forward_response,doppler_forward_response
-1.001790216607564732e+00,1.037474516192724350e+00
-5.193883861005001989e-01,6.883732908240459691e-01
-9.335643710516426663e-02,3.257526152700254696e-01
-2.616424835523881165e-02,2.228807307972814067e-01
-4.484278682438547908e-02,1.902085789820152639e-01
-3.403832268346496364e-03,1.208486309058124514e-01
-8.774986855242895567e-01,9.663354183861138091e-01
-4.481132192957277272e-01,6.367007197701461951e-01
-7.681736759602256215e-02,3.006573982177079274e-01
-2.049382499851838679e-02,2.019919651194782284e-01
-3.819010438194608142e-02,1.723230080537717368e-01
-2.814499786415775202e-03,1.082744805466390320e-01
-7.286618479645116109e-01,9.229769227721749125e-01
-3.713725535363731067e-01,6.121267403866603729e-01
-5.968056463991134458e-02,2.839787717589706828e-01
-1.562832306186239320e-02,1.900748134184037652e-01
-3.129207842801341732e-02,1.616551296084104417e-01
-2.359012939043361040e-03,1.005458970127152685e-01
