wake_forward_response,doppler_forward_response
-9.925945346743232367e-01,1.028313051459695204e+00
-5.224778881830471899e-01,6.924784630352143200e-01
-9.520650740092732878e-02,3.292415301511376069e-01
-2.617415395148206883e-02,2.230762416562293016e-01
-4.538405953837259393e-02,1.923330689905527469e-01
-3.286889879590830597e-03,1.201828011033427290e-01
-8.804206076427234517e-01,9.694810520923512476e-01
-4.485655323204989497e-01,6.376605250769120659e-01
-7.690284981765953265e-02,3.021927227054141407e-01
-2.064603113810863783e-02,2.037414438169864173e-01
-3.831165220332706511e-02,1.728654509983366394e-01
-2.792770818347869478e-03,1.084832257051406290e-01
-7.320767325781817325e-01,9.268478784762770317e-01
-3.677230739776174984e-01,6.060590718014741141e-01
-5.937096197605373771e-02,2.830590029579833078e-01
-1.569375849967728082e-02,1.912714229216616879e-01
-3.121420477832803977e-02,1.612344006675584251e-01
-2.344385694225497446e-03,1.006091186269135740e-01
