zlo,zhi,z_effective,s_Mpc_over_h,xi0_proxy,xi1_proxy_odd
1.000000000000000056e-01,2.000000000000000111e-01,1.600300045356429224e-01,3.000000000000000000e+01,1.030483871191491124e-01,2.594384903330209172e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.600300045356429224e-01,5.000000000000000000e+01,2.733290047567351125e-02,-6.514274239268048970e-04
1.000000000000000056e-01,2.000000000000000111e-01,1.600300045356429224e-01,7.000000000000000000e+01,1.047265469471917419e-02,-2.087959783022768061e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.600300045356429224e-01,9.000000000000000000e+01,8.667990333942085339e-04,-3.223613244932603886e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.600300045356429224e-01,1.100000000000000000e+02,-6.356923002659182337e-03,4.111920727356410156e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.600300045356429224e-01,1.300000000000000000e+02,-3.153548964910493461e-03,3.526742116435316494e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.556772532368770667e-01,3.000000000000000000e+01,9.979786596881452809e-02,-7.324351513844187464e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.556772532368770667e-01,5.000000000000000000e+01,1.763761895405866961e-02,5.811119780961588807e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.556772532368770667e-01,7.000000000000000000e+01,4.462959186418420481e-03,4.479408522235858335e-04
2.000000000000000111e-01,2.999999999999999889e-01,2.556772532368770667e-01,9.000000000000000000e+01,1.105167581841208242e-03,-4.861594780691736633e-04
2.000000000000000111e-01,2.999999999999999889e-01,2.556772532368770667e-01,1.100000000000000000e+02,2.970748246745359006e-03,2.394906158340044666e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.556772532368770667e-01,1.300000000000000000e+02,2.409312864921573857e-03,2.572198317971102505e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.536121945299497971e-01,3.000000000000000000e+01,9.332148325583705661e-02,-1.656563489672125897e-02
2.999999999999999889e-01,4.000000000000000222e-01,3.536121945299497971e-01,5.000000000000000000e+01,2.489952388611690534e-02,4.470783152257665552e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.536121945299497971e-01,7.000000000000000000e+01,5.666243552745424579e-03,-9.321549035701165485e-04
2.999999999999999889e-01,4.000000000000000222e-01,3.536121945299497971e-01,9.000000000000000000e+01,2.724736682367618745e-03,-3.761105176846366374e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.536121945299497971e-01,1.100000000000000000e+02,-1.536174184275481878e-05,2.542676757631453892e-04
2.999999999999999889e-01,4.000000000000000222e-01,3.536121945299497971e-01,1.300000000000000000e+02,-4.489168631311640095e-03,-3.417506244328073241e-03
