wake_forward_response,doppler_forward_response
-9.667078831927867766e-01,1.000924928113146706e+00
-5.003623295499699530e-01,6.624340413542327832e-01
-9.215852533653745571e-02,3.212852869604659323e-01
-2.541950889103029160e-02,2.175648417950952207e-01
-4.458270865610845096e-02,1.889963263272516902e-01
-3.235344541237712007e-03,1.201470859243882472e-01
-8.812795968333098084e-01,9.705007206706727230e-01
-4.527145542885087637e-01,6.438460799704909254e-01
-7.715366832326402136e-02,3.019472083861599598e-01
-2.065988486392754744e-02,2.034741547345813861e-01
-3.866206712457979228e-02,1.744055903158707732e-01
-2.820806178771532655e-03,1.089840881350573748e-01
-7.226556764104716812e-01,9.155128755416310771e-01
-3.684084196544482048e-01,6.073117610119581622e-01
-6.045738767462571078e-02,2.863605959265063117e-01
-1.575107855589986255e-02,1.914777251342759390e-01
-3.129095616421128517e-02,1.616754918303058008e-01
-2.354853506059718504e-03,1.003607160828920986e-01
