zlo,zhi,z_effective,s_Mpc_over_h,xi0_proxy,xi1_proxy_odd
1.000000000000000056e-01,2.000000000000000111e-01,1.602358925366298981e-01,3.000000000000000000e+01,8.980757816541579119e-02,6.123546492833763059e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.602358925366298981e-01,5.000000000000000000e+01,2.150319105514696474e-02,-1.399332053707626113e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.602358925366298981e-01,7.000000000000000000e+01,6.597636999853211765e-04,3.227712935943411300e-04
1.000000000000000056e-01,2.000000000000000111e-01,1.602358925366298981e-01,9.000000000000000000e+01,1.057532898587420708e-02,5.795764920730930858e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.602358925366298981e-01,1.100000000000000000e+02,2.499044058745228912e-03,5.487256195015466700e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.602358925366298981e-01,1.300000000000000000e+02,2.344545199733581199e-03,-3.638485351460447881e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.556380494852319440e-01,3.000000000000000000e+01,1.012277675732915355e-01,1.527269419265468720e-02
2.000000000000000111e-01,2.999999999999999889e-01,2.556380494852319440e-01,5.000000000000000000e+01,3.109284124576200403e-02,-9.073477406725228515e-04
2.000000000000000111e-01,2.999999999999999889e-01,2.556380494852319440e-01,7.000000000000000000e+01,8.208088786988896463e-03,-1.187313448291834163e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.556380494852319440e-01,9.000000000000000000e+01,9.044735700149799176e-03,-1.431307036394971390e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.556380494852319440e-01,1.100000000000000000e+02,2.905723694774646048e-03,5.170557121387159326e-04
2.000000000000000111e-01,2.999999999999999889e-01,2.556380494852319440e-01,1.300000000000000000e+02,2.386436570634868377e-03,8.841661939764459402e-04
2.999999999999999889e-01,4.000000000000000222e-01,3.539421285344229728e-01,3.000000000000000000e+01,9.994420097253239876e-02,-2.572749048589258961e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.539421285344229728e-01,5.000000000000000000e+01,2.384712836483025844e-02,2.436225432605119024e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.539421285344229728e-01,7.000000000000000000e+01,8.190228551144002750e-03,3.050726905103827522e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.539421285344229728e-01,9.000000000000000000e+01,5.561237287764270003e-03,4.847692999167828136e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.539421285344229728e-01,1.100000000000000000e+02,2.759497666036857255e-03,-1.023070529481766430e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.539421285344229728e-01,1.300000000000000000e+02,2.598366914687333645e-03,-1.020644630003541328e-03
