wake_forward_response,doppler_forward_response
-1.000949404507548879e+00,1.037039980554283813e+00
-5.207131168695776635e-01,6.896770448391293939e-01
-9.397293916581787865e-02,3.257778107729598638e-01
-2.570579974268231635e-02,2.195930597028630527e-01
-4.440508838339796843e-02,1.882445877276620883e-01
-3.311496544072165069e-03,1.196614276084753126e-01
-8.871203272338361590e-01,9.765333718698623322e-01
-4.541619481422942695e-01,6.460022758531220877e-01
-7.762346751086511565e-02,3.041554425240451387e-01
-2.090901079500080001e-02,2.058654141421407402e-01
-3.880493566997943872e-02,1.750161712297997607e-01
-2.863582182959332513e-03,1.101289381289619618e-01
-7.215259595473314524e-01,9.138120336916409903e-01
-3.674971526555039780e-01,6.056312937393422136e-01
-5.936179722810332182e-02,2.826758463664834631e-01
-1.567513897574612444e-02,1.911663577901145106e-01
-3.134540817040797761e-02,1.619486972894043364e-01
-2.373732390621051055e-03,1.008141995202355701e-01
