wake_forward_response,doppler_forward_response
-9.826373112640451879e-01,1.017894848417998377e+00
-5.229706207992720346e-01,6.930400848329670849e-01
-9.464323964543608358e-02,3.271247491583204603e-01
-2.620304573451704214e-02,2.231323477993837623e-01
-4.543480688237402920e-02,1.926261543786442487e-01
-3.376262947104195951e-03,1.222465808012956762e-01
-8.673811223039086249e-01,9.550046132162575141e-01
-4.450203134847488529e-01,6.328658998737606289e-01
-7.649016865076252447e-02,2.995825313739665097e-01
-2.062719185030936417e-02,2.028237115373678623e-01
-3.828510947425731864e-02,1.726724504735267784e-01
-2.850606945849620301e-03,1.085044055463623702e-01
-7.279366283352700639e-01,9.222891041469479800e-01
-3.710582716654903801e-01,6.115263681183816802e-01
-6.002809098535972360e-02,2.851657995642298826e-01
-1.572397514044548278e-02,1.916317200255854281e-01
-3.152285265441038403e-02,1.628644951348950654e-01
-2.361248935207585671e-03,1.012151955338712050e-01
