zlo,zhi,z_effective,s_Mpc_over_h,xi0_proxy,xi1_proxy_odd
1.000000000000000056e-01,2.000000000000000111e-01,1.600501212001621543e-01,3.000000000000000000e+01,1.011457144559995691e-01,-3.161928161758039563e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.600501212001621543e-01,5.000000000000000000e+01,2.420746219834307711e-02,2.097662292469792272e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.600501212001621543e-01,7.000000000000000000e+01,7.449073427477936361e-03,-7.422879164789366463e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.600501212001621543e-01,9.000000000000000000e+01,-1.355876999357650452e-03,9.180084535056852804e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.600501212001621543e-01,1.100000000000000000e+02,3.502178577476957634e-03,-8.606114664211477264e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.600501212001621543e-01,1.300000000000000000e+02,4.041863290868915465e-03,-3.279163080613000086e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.555442590381897250e-01,3.000000000000000000e+01,8.275656033511509524e-02,2.981776379772032096e-02
2.000000000000000111e-01,2.999999999999999889e-01,2.555442590381897250e-01,5.000000000000000000e+01,2.497010845932450679e-02,1.539186055309237772e-02
2.000000000000000111e-01,2.999999999999999889e-01,2.555442590381897250e-01,7.000000000000000000e+01,8.054129166652339647e-03,-1.370627427479732992e-02
2.000000000000000111e-01,2.999999999999999889e-01,2.555442590381897250e-01,9.000000000000000000e+01,8.149186970108926453e-03,-4.449068787023152845e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.555442590381897250e-01,1.100000000000000000e+02,5.103373996860808767e-03,2.812427878400385137e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.555442590381897250e-01,1.300000000000000000e+02,8.428931445197129779e-04,-2.326137727194420822e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538823534372360080e-01,3.000000000000000000e+01,8.788265180515876518e-02,4.342143122879330540e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538823534372360080e-01,5.000000000000000000e+01,2.556613092548194049e-02,4.400986466544396826e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538823534372360080e-01,7.000000000000000000e+01,4.988136377273918488e-03,7.349298345550558421e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538823534372360080e-01,9.000000000000000000e+01,3.363961013696495708e-03,-4.610827797063054949e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538823534372360080e-01,1.100000000000000000e+02,7.347572974560410801e-03,5.117082227265328312e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538823534372360080e-01,1.300000000000000000e+02,1.494771241662123462e-03,-3.400308483368582897e-03
