zlo,zhi,z_effective,s_Mpc_over_h,xi0_proxy,xi1_proxy_odd
1.000000000000000056e-01,2.000000000000000111e-01,1.599887335724439197e-01,3.000000000000000000e+01,7.738479427852110182e-02,3.559288741380331011e-04
1.000000000000000056e-01,2.000000000000000111e-01,1.599887335724439197e-01,5.000000000000000000e+01,1.129298242019393869e-02,9.767498265689072631e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.599887335724439197e-01,7.000000000000000000e+01,-9.087871284818797857e-03,-2.604118409179031687e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.599887335724439197e-01,9.000000000000000000e+01,-2.769362228421387746e-03,-7.204578713739979122e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.599887335724439197e-01,1.100000000000000000e+02,7.322350330815055944e-03,-3.380928588318997310e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.599887335724439197e-01,1.300000000000000000e+02,4.473722867355185359e-03,4.925782024341431725e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.558408053865738330e-01,3.000000000000000000e+01,1.016372126684425836e-01,-2.037220901997955670e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.558408053865738330e-01,5.000000000000000000e+01,2.023969226918808859e-02,8.759401670937269277e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.558408053865738330e-01,7.000000000000000000e+01,5.734276077617530415e-03,-1.053113989623569689e-02
2.000000000000000111e-01,2.999999999999999889e-01,2.558408053865738330e-01,9.000000000000000000e+01,3.801607718282165333e-03,-4.807624300966028934e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.558408053865738330e-01,1.100000000000000000e+02,5.408587674613103517e-03,-1.805580581966482806e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.558408053865738330e-01,1.300000000000000000e+02,6.960915528829267514e-04,-1.899840873771757501e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537480559437345407e-01,3.000000000000000000e+01,1.006384671141006687e-01,1.051016203697426390e-02
2.999999999999999889e-01,4.000000000000000222e-01,3.537480559437345407e-01,5.000000000000000000e+01,2.814699733160805697e-02,4.507079077744031471e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537480559437345407e-01,7.000000000000000000e+01,1.018836239804624122e-02,5.590643365520287823e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537480559437345407e-01,9.000000000000000000e+01,5.145694580968380311e-03,-2.793788632309908058e-04
2.999999999999999889e-01,4.000000000000000222e-01,3.537480559437345407e-01,1.100000000000000000e+02,1.980358822597659899e-03,-7.150959860774919359e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537480559437345407e-01,1.300000000000000000e+02,9.326598739065405192e-04,1.712324073409721538e-03
