wake_forward_response,doppler_forward_response
-9.659787699109073644e-01,9.996674969513006381e-01
-5.098549598544274142e-01,6.764537469567427630e-01
-9.218334453102076942e-02,3.206644026434276040e-01
-2.597090764698703827e-02,2.211443188112935665e-01
-4.475368459016047101e-02,1.897289962394992646e-01
-3.349152967802198396e-03,1.208874226743430341e-01
-8.743702426539574635e-01,9.630274999935645175e-01
-4.455782936623354784e-01,6.327940279685078107e-01
-7.652151955988700793e-02,2.992020382088999564e-01
-2.039872455649628658e-02,2.012853625159238546e-01
-3.801279532605636446e-02,1.715346552930205881e-01
-2.815886309300668494e-03,1.086654681167169151e-01
-7.288637602331540233e-01,9.231070604214998143e-01
-3.704136431320480538e-01,6.105386196820665745e-01
-6.007704993682441708e-02,2.852592653196911465e-01
-1.580860091278511737e-02,1.924730937166544975e-01
-3.142057903190651619e-02,1.623061654617151961e-01
-2.364903235775048154e-03,1.010285760682654993e-01
