wake_forward_response,doppler_forward_response
-1.007749596786768675e+00,1.043730330962108210e+00
-5.145585706013390270e-01,6.815811058363137054e-01
-9.485160056500845094e-02,3.273350422647933189e-01
-2.607043836478922100e-02,2.218813382899975650e-01
-4.480957105403263196e-02,1.899306447490542171e-01
-3.251187195264425723e-03,1.192054779269726555e-01
-8.759697063822017293e-01,9.648098007238998797e-01
-4.460239396374383047e-01,6.344421048499445659e-01
-7.692983035969547245e-02,3.009559029680130560e-01
-2.057984706232819996e-02,2.031135028752462102e-01
-3.846175530748315030e-02,1.735338035179691818e-01
-2.815734476932995559e-03,1.085917882950767632e-01
-7.290515927127533269e-01,9.238334487639110471e-01
-3.712863519092448605e-01,6.120397412239967361e-01
-6.071618222099132295e-02,2.891867332247614608e-01
-1.589284676348727901e-02,1.933631034291024009e-01
-3.149846679895354495e-02,1.627049718532518618e-01
-2.401756191812084561e-03,1.012747807892597635e-01
