r,max_relative_matched_jet_error,next_relative_difference,next_abs_difference,min_singular_value
0.0,0.0,0.00017743439120551467,0.003175898754296469,1.0
1.0,3.802153754480387e-16,2.8649929898998877e-05,0.0015727185013219012,0.002528409691994433
2.0,1.4249820633584988e-16,1.2333047377484287e-05,0.00242995153982406,4.617044658901632e-05
3.0,0.0,3.242291110149616e-06,0.0024090104556080405,7.604286779463e-06
4.0,1.5857836494109726e-16,4.043888004730978e-07,0.0011583139907997975,1.8005786514214712e-06
5.0,1.6252018433007138e-16,5.960554314476945e-08,0.0006659492828475777,2.728814991160718e-07
6.0,1.6575605315019859e-16,1.0506891589619333e-08,0.0004610670075635426,4.611022924037756e-08
