m,delta_n,delta_rho,delta_P,delta_Q,delta_a3,max_delta_a
0.0,0.0,0.0,5.551115123125784e-17,2.4020670510091487e-05,0.0,0.0
0.05,5.551115123125784e-17,3.3306690738754696e-16,0.0,3.252653144392159e-05,4.0658164304902e-08,1.0083930712667665e-07
0.1,5.551115123125784e-17,3.3306690738754696e-16,5.551115123125784e-17,7.656429951184705e-05,3.828214975592354e-07,7.942030180174698e-07
0.2,0.0,3.3306690738754696e-16,0.0,0.00014007133927085302,2.801426785417061e-06,4.311413503987893e-06
0.5,-5.551115123125784e-17,-1.1102230246251563e-16,5.551115123125784e-17,0.00015917936519305176,1.9897420649131463e-05,1.587096307487101e-05
1.0,5.551115123125784e-17,0.0,0.0,7.834533027177569e-05,3.9172665135887845e-05,1.535795375628979e-05
2.0,-5.551115123125784e-17,3.3306690738754696e-16,5.551115123125784e-17,1.4719318964656612e-05,2.9438637929313227e-05,4.99000874842892e-06
5.0,-2.775557561562892e-17,-3.3306690738754696e-16,2.775557561562892e-17,2.7922111963535334e-07,3.490263995441917e-06,2.0944146195134294e-07
