zlo,zhi,z_effective,s_Mpc_over_h,xi0_proxy,xi1_proxy_odd
1.000000000000000056e-01,2.000000000000000111e-01,1.597684622347462502e-01,3.000000000000000000e+01,9.859651704710563347e-02,2.270294531638350488e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.597684622347462502e-01,5.000000000000000000e+01,1.665924702995368045e-02,4.028558695862442980e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.597684622347462502e-01,7.000000000000000000e+01,5.648926013178265197e-03,-1.451364285736601867e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.597684622347462502e-01,9.000000000000000000e+01,6.082442893658552945e-03,4.368859437509329223e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.597684622347462502e-01,1.100000000000000000e+02,-1.530677127901924547e-03,3.178981149599776571e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.597684622347462502e-01,1.300000000000000000e+02,-1.344644336294536363e-03,6.012102588693535830e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.556185383739927319e-01,3.000000000000000000e+01,1.066430517675520523e-01,7.623147705232270407e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.556185383739927319e-01,5.000000000000000000e+01,3.371565819786723900e-02,-8.852918611171023064e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.556185383739927319e-01,7.000000000000000000e+01,1.468886312135080259e-02,-1.061168250018777390e-02
2.000000000000000111e-01,2.999999999999999889e-01,2.556185383739927319e-01,9.000000000000000000e+01,1.314323236153771418e-02,-6.842822633515928225e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.556185383739927319e-01,1.100000000000000000e+02,-8.453184655138558563e-05,-2.948794524616162819e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.556185383739927319e-01,1.300000000000000000e+02,1.330158809432829207e-04,-6.957177694713990480e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538741288793934570e-01,3.000000000000000000e+01,9.403692714306265132e-02,7.439676861298880409e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538741288793934570e-01,5.000000000000000000e+01,2.011549527822984601e-02,-2.758063813800970022e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538741288793934570e-01,7.000000000000000000e+01,5.127832269436526612e-03,6.401505241754890671e-04
2.999999999999999889e-01,4.000000000000000222e-01,3.538741288793934570e-01,9.000000000000000000e+01,2.674916281991623467e-03,5.398084409001670247e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538741288793934570e-01,1.100000000000000000e+02,2.236479235340515289e-03,2.710417701407898030e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538741288793934570e-01,1.300000000000000000e+02,-5.354135316347195285e-04,5.168319074386682789e-03
