wake_forward_response,doppler_forward_response
-9.520012353087080603e-01,9.863229491905726176e-01
-5.032740307586419659e-01,6.664169088766264126e-01
-9.106950008871386726e-02,3.155007044770376523e-01
-2.535962360047140304e-02,2.163156932524620268e-01
-4.409122751597176204e-02,1.869917285746957036e-01
-3.319457498381433395e-03,1.193726639675555951e-01
-8.830948074110881452e-01,9.722631866788523647e-01
-4.508416407763596867e-01,6.409610389455604462e-01
-7.690759644020904451e-02,3.003913528063379412e-01
-2.055022764889450834e-02,2.022667684326642235e-01
-3.821405402070086887e-02,1.724089502791047446e-01
-2.852586749965360050e-03,1.093578719807753175e-01
-7.349016697414998411e-01,9.306122221946570017e-01
-3.761580069656206282e-01,6.193111310609825670e-01
-6.087315196619087765e-02,2.883603703196683243e-01
-1.564510115161326861e-02,1.911216842668765070e-01
-3.128971324686782157e-02,1.616129401610185146e-01
-2.364120642415032565e-03,1.010466641394448806e-01
