zlo,zhi,z_effective,s_Mpc_over_h,xi0_proxy,xi1_proxy_odd
1.000000000000000056e-01,2.000000000000000111e-01,1.600410208091359032e-01,3.000000000000000000e+01,8.507801054548405628e-02,-1.037539935937139505e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.600410208091359032e-01,5.000000000000000000e+01,1.980949254963764589e-02,-2.196278049019271053e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.600410208091359032e-01,7.000000000000000000e+01,5.219264505321213193e-03,2.817250449601226350e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.600410208091359032e-01,9.000000000000000000e+01,-1.951179749337548543e-03,5.466248185813439228e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.600410208091359032e-01,1.100000000000000000e+02,-2.344737827055822215e-03,-5.977034289364370132e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.600410208091359032e-01,1.300000000000000000e+02,3.555451987206372476e-03,1.530533151156783641e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.556350906672510970e-01,3.000000000000000000e+01,9.781495910428004981e-02,1.205880629672855149e-02
2.000000000000000111e-01,2.999999999999999889e-01,2.556350906672510970e-01,5.000000000000000000e+01,2.371887763564366897e-02,3.251804785824711792e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.556350906672510970e-01,7.000000000000000000e+01,7.386051775672868198e-03,2.792092170318797185e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.556350906672510970e-01,9.000000000000000000e+01,4.096492515316408657e-03,-3.114094325417032707e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.556350906672510970e-01,1.100000000000000000e+02,7.759782978557371209e-03,3.902990337097829530e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.556350906672510970e-01,1.300000000000000000e+02,2.440939115428570824e-03,7.237059664360180698e-04
2.999999999999999889e-01,4.000000000000000222e-01,3.537992208068931332e-01,3.000000000000000000e+01,9.515090642956759714e-02,-1.251456519563828992e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537992208068931332e-01,5.000000000000000000e+01,3.242881325989026287e-02,-9.597449983971478166e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537992208068931332e-01,7.000000000000000000e+01,1.498533399674478002e-03,-3.693929550268598792e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537992208068931332e-01,9.000000000000000000e+01,2.396989570400610836e-03,4.321593379932150286e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537992208068931332e-01,1.100000000000000000e+02,1.611597090884447740e-03,-1.084867043610365529e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537992208068931332e-01,1.300000000000000000e+02,2.668538653429905049e-03,2.787179858783762725e-04
