zlo,zhi,z_effective,s_Mpc_over_h,xi0_proxy,xi1_proxy_odd
1.000000000000000056e-01,2.000000000000000111e-01,1.597242238218010979e-01,3.000000000000000000e+01,8.571804943256458587e-02,-2.543012700753425216e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.597242238218010979e-01,5.000000000000000000e+01,2.595806992005745065e-02,1.740440802976375712e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.597242238218010979e-01,7.000000000000000000e+01,-3.699442168751292288e-03,-1.273442022715332543e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.597242238218010979e-01,9.000000000000000000e+01,3.926826104564304712e-03,-2.071183906171128464e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.597242238218010979e-01,1.100000000000000000e+02,1.776986526333017248e-03,1.214103938951924255e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.597242238218010979e-01,1.300000000000000000e+02,-5.701454826716972554e-03,1.231449985870608672e-02
2.000000000000000111e-01,2.999999999999999889e-01,2.554745316503485020e-01,3.000000000000000000e+01,9.981478048562573979e-02,2.156238173771221275e-02
2.000000000000000111e-01,2.999999999999999889e-01,2.554745316503485020e-01,5.000000000000000000e+01,2.520383862505152714e-02,1.073631415429202561e-02
2.000000000000000111e-01,2.999999999999999889e-01,2.554745316503485020e-01,7.000000000000000000e+01,-2.144603487194930800e-03,2.642157664925190441e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.554745316503485020e-01,9.000000000000000000e+01,-2.245012369623152187e-03,-1.021229285527940241e-02
2.000000000000000111e-01,2.999999999999999889e-01,2.554745316503485020e-01,1.100000000000000000e+02,-3.309615057346534332e-03,3.631493464446942238e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.554745316503485020e-01,1.300000000000000000e+02,1.388388891770839847e-03,1.971973455016677107e-05
2.999999999999999889e-01,4.000000000000000222e-01,3.537696013471251510e-01,3.000000000000000000e+01,8.801784452793307012e-02,1.309944596953889658e-02
2.999999999999999889e-01,4.000000000000000222e-01,3.537696013471251510e-01,5.000000000000000000e+01,2.960389367846400638e-02,3.082566095826046008e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537696013471251510e-01,7.000000000000000000e+01,1.442643334820951570e-02,5.078021798613104303e-04
2.999999999999999889e-01,4.000000000000000222e-01,3.537696013471251510e-01,9.000000000000000000e+01,-6.432161083072202371e-04,3.009511126969820812e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537696013471251510e-01,1.100000000000000000e+02,-2.000334195031406703e-03,-3.250231593575806256e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537696013471251510e-01,1.300000000000000000e+02,3.575971675509789869e-03,6.383100923490012818e-03
