wake_forward_response,doppler_forward_response
-9.842640463522683847e-01,1.018656187015039905e+00
-5.169700328962258951e-01,6.847503865882490492e-01
-9.227902186157552200e-02,3.198729365096505961e-01
-2.558810044578432863e-02,2.184849295740834696e-01
-4.455235842364079629e-02,1.887633899359858480e-01
-3.320398269112277614e-03,1.207844221651281219e-01
-8.732538535914355915e-01,9.616535306420108675e-01
-4.507430153149271090e-01,6.401235222003094361e-01
-7.789935662712275943e-02,3.054516930301004463e-01
-2.083703696539923600e-02,2.055976705886194411e-01
-3.851782758979061666e-02,1.737029096283554397e-01
-2.867804697783389502e-03,1.099191286302087928e-01
-7.307613688615103298e-01,9.256757941365101328e-01
-3.777965104470831226e-01,6.220331133507163157e-01
-6.098689425191201191e-02,2.897303480070924087e-01
-1.580380510711281231e-02,1.927934777285161827e-01
-3.160970871578669406e-02,1.632940353794026800e-01
-2.380969057162324494e-03,1.015975045166049584e-01
