wake_forward_response,doppler_forward_response
-1.001357312052766790e+00,1.037116876479094341e+00
-5.290996004164884026e-01,6.995453684224490765e-01
-9.611348679425961439e-02,3.327677576563508599e-01
-2.656651271293000716e-02,2.265659416919801050e-01
-4.547905194856850797e-02,1.928336793275917393e-01
-3.417932074414854748e-03,1.211630998882513993e-01
-8.594804709297594325e-01,9.460919131164516882e-01
-4.466661416575594679e-01,6.349594833902836299e-01
-7.663826693304617854e-02,2.998546673611283686e-01
-2.042289294032168315e-02,2.012457198561586613e-01
-3.808431128712639474e-02,1.717212926078695023e-01
-2.851977641830641917e-03,1.076169084957302874e-01
-7.217545152470759007e-01,9.137301763951631850e-01
-3.681136543577440134e-01,6.069494278493299255e-01
-6.008276251605852020e-02,2.846894885695960831e-01
-1.563874162127738485e-02,1.907251240560496885e-01
-3.112161185240057415e-02,1.607360038861099516e-01
-2.352807713601322726e-03,1.006430287291231879e-01
