zlo,zhi,z_effective,s_Mpc_over_h,xi0_proxy,xi1_proxy_odd
1.000000000000000056e-01,2.000000000000000111e-01,1.599408672182675295e-01,3.000000000000000000e+01,6.303939519415828474e-02,-3.638436361301982790e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.599408672182675295e-01,5.000000000000000000e+01,2.979954174684282166e-04,-7.702742333627433241e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.599408672182675295e-01,7.000000000000000000e+01,1.691433725362051076e-04,1.204736984432237638e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.599408672182675295e-01,9.000000000000000000e+01,-1.001356781834315075e-03,1.402385683891310903e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.599408672182675295e-01,1.100000000000000000e+02,3.037793369086312732e-03,4.936425990782725864e-05
1.000000000000000056e-01,2.000000000000000111e-01,1.599408672182675295e-01,1.300000000000000000e+02,1.851344522654033110e-03,-2.921451193664108010e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.556298476526138730e-01,3.000000000000000000e+01,8.423303707654399008e-02,2.373249480562041730e-04
2.000000000000000111e-01,2.999999999999999889e-01,2.556298476526138730e-01,5.000000000000000000e+01,2.617896672693646037e-02,4.639121669340426357e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.556298476526138730e-01,7.000000000000000000e+01,1.012549849384036457e-02,5.520563443986099654e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.556298476526138730e-01,9.000000000000000000e+01,5.337345021813549514e-03,3.527424919254814554e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.556298476526138730e-01,1.100000000000000000e+02,2.629249596035834830e-05,3.219539917441215874e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.556298476526138730e-01,1.300000000000000000e+02,-1.338528802655777634e-03,-2.757698964759037330e-05
2.999999999999999889e-01,4.000000000000000222e-01,3.537354523593829181e-01,3.000000000000000000e+01,9.772679285430874163e-02,5.319925130279143898e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537354523593829181e-01,5.000000000000000000e+01,3.146373566306387426e-02,1.403748310976937405e-02
2.999999999999999889e-01,4.000000000000000222e-01,3.537354523593829181e-01,7.000000000000000000e+01,1.322836542678371662e-02,-5.129352001751219178e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537354523593829181e-01,9.000000000000000000e+01,7.347474746978521244e-03,-4.830122995218895203e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537354523593829181e-01,1.100000000000000000e+02,-6.465683463204881633e-04,5.174142580496466498e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537354523593829181e-01,1.300000000000000000e+02,-3.404164691493807415e-03,-3.803503369682425476e-03
