zlo,zhi,z_effective,s_Mpc_over_h,xi0_proxy,xi1_proxy_odd
1.000000000000000056e-01,2.000000000000000111e-01,1.597701724663560252e-01,3.000000000000000000e+01,8.863741754859832955e-02,4.019726616780610468e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.597701724663560252e-01,5.000000000000000000e+01,1.769706339579011842e-02,-5.797283151385083586e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.597701724663560252e-01,7.000000000000000000e+01,5.211398738620240390e-03,-1.089457534145510560e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.597701724663560252e-01,9.000000000000000000e+01,-4.306786465221127194e-03,-8.771634763204284868e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.597701724663560252e-01,1.100000000000000000e+02,9.097568334964457534e-04,5.230121990502227015e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.597701724663560252e-01,1.300000000000000000e+02,-1.231045654621049264e-03,-4.101216270447322933e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.557671071976024280e-01,3.000000000000000000e+01,8.391957070330308133e-02,1.535531261261301357e-02
2.000000000000000111e-01,2.999999999999999889e-01,2.557671071976024280e-01,5.000000000000000000e+01,2.965750775422397803e-02,9.156626870012767733e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.557671071976024280e-01,7.000000000000000000e+01,6.465996194437119080e-03,-3.753438616035378525e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.557671071976024280e-01,9.000000000000000000e+01,1.750014429467552490e-03,7.780428743904429199e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.557671071976024280e-01,1.100000000000000000e+02,1.377145999133968027e-03,1.538774846675331973e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.557671071976024280e-01,1.300000000000000000e+02,3.187175086515055961e-03,-3.684665342082469718e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538388148698821678e-01,3.000000000000000000e+01,9.706619039319089315e-02,5.298549495243439628e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538388148698821678e-01,5.000000000000000000e+01,2.632162236873342859e-02,3.091973909813226958e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538388148698821678e-01,7.000000000000000000e+01,1.001120893875253291e-02,1.059615432718083233e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538388148698821678e-01,9.000000000000000000e+01,3.096062373959588675e-03,-1.123058378109132675e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538388148698821678e-01,1.100000000000000000e+02,3.832261016009614208e-03,-6.597832625868537207e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538388148698821678e-01,1.300000000000000000e+02,1.785393399967046598e-03,2.017193226308474155e-03
