wake_forward_response,doppler_forward_response
-9.901509324755047858e-01,1.025009814824308974e+00
-5.147225898965296365e-01,6.802601937635909257e-01
-9.253778392791073282e-02,3.224009269247005149e-01
-2.624030425432861274e-02,2.229495164328353651e-01
-4.546451552778283528e-02,1.927077800665343010e-01
-3.328884924081756697e-03,1.209757141033372674e-01
-8.732176952557307859e-01,9.611792375348101602e-01
-4.467289625830087596e-01,6.343841764376790815e-01
-7.634122486243677397e-02,2.991373529344094062e-01
-2.052065212388082607e-02,2.021122923537982119e-01
-3.844485042013344456e-02,1.733954469185562397e-01
-2.840434927031582329e-03,1.084531952553382111e-01
-7.160535320535872383e-01,9.069496971941360952e-01
-3.670136065132820202e-01,6.043787874257238180e-01
-5.962628665707217501e-02,2.835664580986465566e-01
-1.553966941107611313e-02,1.893032996292428050e-01
-3.096943023452157495e-02,1.599735978446105433e-01
-2.359691183584277686e-03,9.999245271674576940e-02
