wake_forward_response,doppler_forward_response
-1.009542647438454344e+00,1.045737335762550124e+00
-5.330629855393846928e-01,7.057074553796012228e-01
-9.588050715515419875e-02,3.316738775073562184e-01
-2.621498745871680622e-02,2.231019704305343132e-01
-4.486134772587904024e-02,1.901227987857259938e-01
-3.379047116792507563e-03,1.204231147731206625e-01
-8.828034960293975608e-01,9.717823785296936245e-01
-4.526176629774208982e-01,6.431014463747517507e-01
-7.704699266572816174e-02,3.006399463338779721e-01
-2.067107343230103339e-02,2.037524977238782398e-01
-3.839291402454483165e-02,1.731899030924012595e-01
-2.841100030641170206e-03,1.084681348682954710e-01
-7.233371931553151946e-01,9.161267154228215359e-01
-3.714616070023266658e-01,6.123708493113100282e-01
-6.037643918820483763e-02,2.868295862496508253e-01
-1.581118423803024378e-02,1.927750653690352423e-01
-3.146098787426557936e-02,1.625456271866859426e-01
-2.385911394275398896e-03,1.018272048837631505e-01
