wake_forward_response,doppler_forward_response
-9.872652165982803707e-01,1.022297859495816308e+00
-5.154034682728505512e-01,6.823826737794486119e-01
-9.421959279576549995e-02,3.254617191304788326e-01
-2.606586129999407739e-02,2.215823516164127649e-01
-4.497247468728313852e-02,1.906901237002841254e-01
-3.402985909397015021e-03,1.211045107702041351e-01
-8.732749700591102560e-01,9.614287792219501361e-01
-4.512666108022274081e-01,6.413580063705530687e-01
-7.679445273854906828e-02,3.013307372425542696e-01
-2.070602936866586946e-02,2.041414702538175696e-01
-3.851576465668868354e-02,1.737321981347721422e-01
-2.810442074859515957e-03,1.087967840218410365e-01
-7.320132135920371930e-01,9.272766532795083672e-01
-3.708678941389844663e-01,6.106226788207477219e-01
-5.974366251440019898e-02,2.841513634187934345e-01
-1.560979228348982270e-02,1.904308537954095271e-01
-3.106452726202085790e-02,1.605399268307595162e-01
-2.376388505466277886e-03,1.003053509774024521e-01
