zlo,zhi,z_effective,s_Mpc_over_h,xi0_proxy,xi1_proxy_odd
1.000000000000000056e-01,2.000000000000000111e-01,1.599721547849934089e-01,3.000000000000000000e+01,8.750011763974768764e-02,9.816841729944786668e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.599721547849934089e-01,5.000000000000000000e+01,2.308847783860015768e-02,-1.280978421721898992e-04
1.000000000000000056e-01,2.000000000000000111e-01,1.599721547849934089e-01,7.000000000000000000e+01,-1.268031220619964504e-02,-9.389901097198970203e-04
1.000000000000000056e-01,2.000000000000000111e-01,1.599721547849934089e-01,9.000000000000000000e+01,6.257295749951541364e-03,1.060708468508094263e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.599721547849934089e-01,1.100000000000000000e+02,-1.054519983325814076e-03,8.091592022547926949e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.599721547849934089e-01,1.300000000000000000e+02,3.146881389848326608e-03,1.812399057161860009e-04
2.000000000000000111e-01,2.999999999999999889e-01,2.557071356655977179e-01,3.000000000000000000e+01,9.985195121691335662e-02,9.189868481114205024e-04
2.000000000000000111e-01,2.999999999999999889e-01,2.557071356655977179e-01,5.000000000000000000e+01,2.376046017470685029e-02,6.700756350324296035e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.557071356655977179e-01,7.000000000000000000e+01,9.346020792321864390e-03,-4.152749021561132937e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.557071356655977179e-01,9.000000000000000000e+01,1.036655737011588085e-03,-3.937445266595984358e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.557071356655977179e-01,1.100000000000000000e+02,-2.398856336437238303e-03,1.296832097252532609e-02
2.000000000000000111e-01,2.999999999999999889e-01,2.557071356655977179e-01,1.300000000000000000e+02,-5.529162722552194084e-03,5.085833904183501182e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538233664598711692e-01,3.000000000000000000e+01,9.199704504913891467e-02,1.382517350791848685e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538233664598711692e-01,5.000000000000000000e+01,2.046565454514727433e-02,-6.256786831949957134e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538233664598711692e-01,7.000000000000000000e+01,-1.154079623375826565e-03,4.647545942983881406e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538233664598711692e-01,9.000000000000000000e+01,-1.775620363488990099e-03,-4.428873327698736907e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538233664598711692e-01,1.100000000000000000e+02,1.899788283785909830e-03,-2.096539838910759564e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538233664598711692e-01,1.300000000000000000e+02,1.839166554282724905e-03,1.035122426188252740e-03
