wake_forward_response,doppler_forward_response
-9.812512577015307658e-01,1.016146085164534973e+00
-5.057669550677384995e-01,6.701962974051345334e-01
-9.195535982660385521e-02,3.182655583424359169e-01
-2.523960340812917563e-02,2.151587835653560876e-01
-4.369939975814229882e-02,1.853217088261838175e-01
-3.269320923624059218e-03,1.187843052943990674e-01
-8.918310217975796705e-01,9.818606567530751006e-01
-4.496370264045921328e-01,6.393279906937920920e-01
-7.716283893859546272e-02,3.018609779925994774e-01
-2.068367967259569784e-02,2.037498873971066715e-01
-3.838905300871908732e-02,1.731710843500305352e-01
-2.792591310797610388e-03,1.088258255357067023e-01
-7.259016330785752480e-01,9.192187263269385733e-01
-3.691988669818084268e-01,6.084272495476384934e-01
-5.987843134779240184e-02,2.839399024064960808e-01
-1.559150850241983015e-02,1.897245975239715832e-01
-3.131323744775280776e-02,1.617596720642069663e-01
-2.369235062734679348e-03,1.009005548256207835e-01
