zlo,zhi,z_effective,s_Mpc_over_h,xi0_proxy,xi1_proxy_odd
1.000000000000000056e-01,2.000000000000000111e-01,1.600139099328625192e-01,3.000000000000000000e+01,9.739815434019229168e-02,9.685330958814410487e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.600139099328625192e-01,5.000000000000000000e+01,1.877701672824942311e-02,-8.160128977576855402e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.600139099328625192e-01,7.000000000000000000e+01,-7.950274919288926028e-04,3.582593531575397217e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.600139099328625192e-01,9.000000000000000000e+01,-2.866840756465966530e-03,6.418317748973373111e-04
1.000000000000000056e-01,2.000000000000000111e-01,1.600139099328625192e-01,1.100000000000000000e+02,3.794275549780519018e-03,-7.045295588980921356e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.600139099328625192e-01,1.300000000000000000e+02,2.822441560925332844e-04,-1.376775723109979581e-02
2.000000000000000111e-01,2.999999999999999889e-01,2.555714309769326342e-01,3.000000000000000000e+01,1.006293349330729114e-01,3.709066150951281868e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.555714309769326342e-01,5.000000000000000000e+01,1.642341181367894254e-02,3.553698050722765931e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.555714309769326342e-01,7.000000000000000000e+01,-9.899848302469332288e-04,3.384557793593383559e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.555714309769326342e-01,9.000000000000000000e+01,-9.970052409978894230e-04,-7.808012073794726865e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.555714309769326342e-01,1.100000000000000000e+02,2.372111079688031011e-03,-4.420955288453067814e-04
2.000000000000000111e-01,2.999999999999999889e-01,2.555714309769326342e-01,1.300000000000000000e+02,1.834398809659587744e-03,9.703729094715001164e-04
2.999999999999999889e-01,4.000000000000000222e-01,3.536511290470696345e-01,3.000000000000000000e+01,8.736698838046953741e-02,-1.854648681576867228e-02
2.999999999999999889e-01,4.000000000000000222e-01,3.536511290470696345e-01,5.000000000000000000e+01,2.329899927486921152e-02,4.797737192097649254e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.536511290470696345e-01,7.000000000000000000e+01,1.955986258871886437e-03,-3.108405763195761537e-04
2.999999999999999889e-01,4.000000000000000222e-01,3.536511290470696345e-01,9.000000000000000000e+01,1.089009374159437558e-04,1.703355262886676550e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.536511290470696345e-01,1.100000000000000000e+02,3.466857513729617278e-03,1.710486462146106100e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.536511290470696345e-01,1.300000000000000000e+02,-7.845246695086851305e-04,1.908071290724856197e-03
