wake_forward_response,doppler_forward_response
-9.929914118247836763e-01,1.027906561316497713e+00
-5.124017428745372138e-01,6.785010907216862952e-01
-9.174997432479829740e-02,3.179693514278614797e-01
-2.584902904021844916e-02,2.199144577927256705e-01
-4.515521783238813508e-02,1.914136920414611642e-01
-3.375182113593362156e-03,1.214161844762790543e-01
-8.741610996011135448e-01,9.622207166619922702e-01
-4.525372236372930956e-01,6.425694475814874851e-01
-7.725041102816249117e-02,3.017472794295856242e-01
-2.078551672294824681e-02,2.042902475664738482e-01
-3.867992026107838072e-02,1.744515036749959280e-01
-2.891949761987586739e-03,1.094389218986038248e-01
-7.210631334517377811e-01,9.133387692614066689e-01
-3.653566986833646224e-01,6.016681033052612149e-01
-5.960206858252730527e-02,2.835940225873538334e-01
-1.555677339762525507e-02,1.894308282405838539e-01
-3.108601364002791870e-02,1.605321709672999364e-01
-2.358172339510021618e-03,1.006823423682314395e-01
