zlo,zhi,z_effective,s_Mpc_over_h,xi0_proxy,xi1_proxy_odd
1.000000000000000056e-01,2.000000000000000111e-01,1.599215550558920340e-01,3.000000000000000000e+01,1.055865594847610195e-01,-3.729608015780287375e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.599215550558920340e-01,5.000000000000000000e+01,1.830072056297634905e-02,-1.269454329915861018e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.599215550558920340e-01,7.000000000000000000e+01,1.899759226221267843e-03,1.649960917986667205e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.599215550558920340e-01,9.000000000000000000e+01,-2.071266492698704744e-03,-1.460749760452287153e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.599215550558920340e-01,1.100000000000000000e+02,-1.043771326040103965e-03,-5.755155686947511975e-04
1.000000000000000056e-01,2.000000000000000111e-01,1.599215550558920340e-01,1.300000000000000000e+02,1.768612267499087036e-03,-1.955228601003562282e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.557512009293427258e-01,3.000000000000000000e+01,1.086110412912011935e-01,-4.097429768148102940e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.557512009293427258e-01,5.000000000000000000e+01,1.733005109773425728e-02,6.872093017874699242e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.557512009293427258e-01,7.000000000000000000e+01,-1.388304147968467050e-03,-1.229628969643741139e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.557512009293427258e-01,9.000000000000000000e+01,1.170094106461156509e-03,-1.065919210578581029e-02
2.000000000000000111e-01,2.999999999999999889e-01,2.557512009293427258e-01,1.100000000000000000e+02,-2.912614498916890875e-03,-9.840604742209789479e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.557512009293427258e-01,1.300000000000000000e+02,-6.468419232045307873e-03,2.325215077151731018e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537086663931106600e-01,3.000000000000000000e+01,1.028355197299722079e-01,1.428208239204830157e-02
2.999999999999999889e-01,4.000000000000000222e-01,3.537086663931106600e-01,5.000000000000000000e+01,2.542286352469389638e-02,-5.235462832324354158e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537086663931106600e-01,7.000000000000000000e+01,1.165537812755773617e-02,1.930567753099281995e-04
2.999999999999999889e-01,4.000000000000000222e-01,3.537086663931106600e-01,9.000000000000000000e+01,-1.420827677722902044e-03,-5.980332857734156800e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537086663931106600e-01,1.100000000000000000e+02,-1.121790130529376050e-03,-3.231656303609848594e-04
2.999999999999999889e-01,4.000000000000000222e-01,3.537086663931106600e-01,1.300000000000000000e+02,1.049203895385124677e-04,-1.576571264126706102e-03
