wake_forward_response,doppler_forward_response
-9.843669292761808576e-01,1.020047904198967403e+00
-5.084990744029018739e-01,6.724604304640809938e-01
-9.243278101038984729e-02,3.194092193778786948e-01
-2.562354287910294237e-02,2.184312431946286159e-01
-4.442878971563429119e-02,1.882878708565461356e-01
-3.289434003680801692e-03,1.195202916384975333e-01
-8.762180507923142958e-01,9.644841514608264443e-01
-4.475064463950801930e-01,6.357881064812339611e-01
-7.600844159116229570e-02,2.979389868248259465e-01
-2.059510357525989876e-02,2.028888910436006943e-01
-3.806504053320654973e-02,1.717261688860377555e-01
-2.843732924972463064e-03,1.097510625725314631e-01
-7.297270196159323374e-01,9.239874419646257886e-01
-3.725353094284130084e-01,6.135596591589450588e-01
-6.030214986875467864e-02,2.865615245844435055e-01
-1.562104609036955340e-02,1.909739494686611694e-01
-3.127361291236916557e-02,1.615530287571411705e-01
-2.381776619729783495e-03,1.013831681274001417e-01
