wake_forward_response,doppler_forward_response
-1.002042456161521988e+00,1.037938137883436918e+00
-5.158281507884233674e-01,6.834200996075285861e-01
-9.383604634970305058e-02,3.241980942779285058e-01
-2.599779166393366425e-02,2.219969817808536972e-01
-4.504877072410541639e-02,1.910308669875172283e-01
-3.380333801303037934e-03,1.214072230360994376e-01
-8.709171249937994741e-01,9.591263834853485104e-01
-4.468277368922095594e-01,6.348567193711511791e-01
-7.693984972449609272e-02,3.014444168595566409e-01
-2.058908828693160886e-02,2.033390144383198372e-01
-3.829515653569628975e-02,1.727198784482048555e-01
-2.791496137943768035e-03,1.090809467614913958e-01
-7.264380982523301888e-01,9.202512001373198691e-01
-3.713689902225144057e-01,6.119100429997405000e-01
-6.055628127507371727e-02,2.874787096445677315e-01
-1.573237855475462937e-02,1.915875258700737438e-01
-3.140912131030539761e-02,1.623196512376989253e-01
-2.390866408576410290e-03,1.018035568057933660e-01
