zlo,zhi,z_effective,s_Mpc_over_h,wake_ideal_raw,standard_odd_ideal_raw,wake_xi1_windowed_raw,standard_odd_xi1_windowed_raw,even_xi1_leakage_raw,standard_total_xi1_windowed_raw,wake_xi3_windowed_raw,standard_odd_xi3_windowed_raw,even_xi3_leakage_raw,standard_total_xi3_windowed_raw
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,3.000000000000000000e+01,-5.445436642528461713e-02,1.309581592995911689e-03,-5.452133930195052214e-02,1.309994483387298594e-03,-9.888822291757832323e-05,1.211106260469720216e-03,-8.510265643714678605e-06,1.146335552914561026e-07,-1.490015664673543693e-05,-1.478552309144398010e-05
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,5.000000000000000000e+01,-2.879131308801346351e-02,8.761554466927426801e-04,-2.915729147435525137e-02,8.827917100182982365e-04,-3.508276785951771687e-05,8.477089421587805399e-04,-9.561032093435587408e-05,1.734754189178132347e-06,6.907892789907387814e-06,8.642646979085519314e-06
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,7.000000000000000000e+01,-4.152001546363921769e-03,4.133401319501629778e-04,-4.310997078654166953e-03,4.165790233496409435e-04,1.700875276142606917e-05,4.335877761110669957e-04,-5.541343348175312345e-05,1.129080674625058970e-06,1.316397234532829010e-05,1.429305301995334865e-05
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,9.000000000000000000e+01,-1.260968098358003281e-03,3.069982582011640125e-04,-1.216277081118433785e-03,3.072129413605037204e-04,3.076967098865394727e-06,3.102899084593690885e-04,1.915371717146284572e-05,9.185074161306609540e-08,1.161656326991370115e-06,1.253507068604436105e-06
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,1.100000000000000000e+02,-2.938589825733662567e-03,2.556980865532306781e-04,-2.955264479969917091e-03,2.572032543691678838e-04,-7.836179656691649343e-06,2.493670747124762362e-04,-8.842839126068561504e-06,7.937441416143166261e-07,-1.800334169753274351e-06,-1.006590028138957725e-06
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,1.300000000000000000e+02,-2.728055641606297126e-04,1.538321002999051682e-04,-3.249006175207444285e-04,1.553776428418340177e-04,1.672471992978508468e-06,1.570501148348125260e-04,-3.364675293184264269e-05,9.983200681021187061e-07,8.615598426626025901e-07,1.859879910764721190e-06
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368447136e-01,3.000000000000000000e+01,-4.225905324506354366e-02,1.021916257191115293e-03,-4.231227817480559539e-02,1.022287174593112732e-03,-1.245897280696777441e-04,8.976974465234350154e-04,-6.057492514995173690e-06,9.356111401572221836e-08,-1.740984016264938114e-06,-1.647422902249215896e-06
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368447136e-01,5.000000000000000000e+01,-2.231437851578134748e-02,6.797378121537296040e-04,-2.261423306581308856e-02,6.852272124497960949e-04,-3.797693696578062798e-05,6.472502754840154127e-04,-8.597821759549604701e-05,1.574503739431090888e-06,1.365953164233451666e-05,1.523403538176560733e-05
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368447136e-01,7.000000000000000000e+01,-3.207871904746386477e-03,3.197094986174739677e-04,-3.339833799185778270e-03,3.223799479949739956e-04,1.608299697445101650e-05,3.384629449694250155e-04,-5.056894682982811782e-05,1.023842393599599575e-06,1.150681337675148500e-05,1.253065577035108373e-05
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368447136e-01,9.000000000000000000e+01,-1.004513861180595866e-03,2.392549634312776782e-04,-9.664851330282485734e-04,2.394234357735154726e-04,3.633531680088451586e-06,2.430569674536039212e-04,1.705242027652827566e-05,7.562221477584538257e-08,1.963070851013115595e-06,2.038693065788961004e-06
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368447136e-01,1.100000000000000000e+02,-2.314856154864137691e-03,1.983968777740090662e-04,-2.329492700468195013e-03,1.997342072034627436e-04,-8.751042985083083044e-06,1.909831642183796555e-04,-8.113389883931697218e-06,7.375671088252179819e-07,-2.543475852450878123e-06,-1.805908743625660035e-06
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368447136e-01,1.300000000000000000e+02,-2.302290989173024437e-04,1.184325460655394867e-04,-2.778506106190255622e-04,1.198258937222581449e-04,3.171202067490118887e-06,1.229970957897482732e-04,-3.328701828789547805e-05,9.739476873638760202e-07,3.118815992134040519e-06,4.092763679497916540e-06
1.000000000000000000e+00,1.100000000000000089e+00,1.047687196223897610e+00,3.000000000000000000e+01,-3.304691343495713696e-02,2.840539810420813788e-03,-3.309133484586263690e-02,2.840737562825448002e-03,-2.493255153995993035e-04,2.591412047425848807e-03,-5.934465318354354828e-06,2.666921902777598558e-07,-1.836415020238197444e-05,-1.809745801210421522e-05
1.000000000000000000e+00,1.100000000000000089e+00,1.047687196223897610e+00,5.000000000000000000e+01,-1.744253776778549939e-02,1.970929430214603262e-03,-1.769371529001925389e-02,1.986716140290811002e-03,-8.578112019325977492e-05,1.900935020097551309e-03,-7.346607567913265629e-05,4.621708797532684390e-06,1.748270161440822716e-05,2.210441041194091325e-05
1.000000000000000000e+00,1.100000000000000089e+00,1.047687196223897610e+00,7.000000000000000000e+01,-2.514886738482800550e-03,9.468642842581567872e-04,-2.625912919022875373e-03,9.558249915667591228e-04,4.279229006417461731e-05,9.986172816309336724e-04,-4.360358087792140199e-05,3.522826645197285785e-06,3.451113023690307837e-05,3.803395688210036373e-05
1.000000000000000000e+00,1.100000000000000089e+00,1.047687196223897610e+00,9.000000000000000000e+01,-8.124036499842853150e-04,6.710746241851719930e-04,-7.795593605419741867e-04,6.718845764329077876e-04,8.744867796743702954e-06,6.806294442296515227e-04,1.579165888023309993e-05,3.895573082530331773e-07,4.562134319577484610e-06,4.951691627830518105e-06
1.000000000000000000e+00,1.100000000000000089e+00,1.047687196223897610e+00,1.100000000000000000e+02,-1.837316276403781453e-03,5.746087962658410217e-04,-1.850421862448051440e-03,5.781332590651428079e-04,-1.779827614719130016e-05,5.603349829179514636e-04,-7.716324391909271438e-06,2.069992461886316803e-06,-2.268692964572025357e-06,-1.987005026857085546e-07
1.000000000000000000e+00,1.100000000000000089e+00,1.047687196223897610e+00,1.300000000000000000e+02,-1.953132574199470308e-04,3.621553115231295763e-04,-2.399881491834279876e-04,3.672121233024661178e-04,4.914242538614529430e-06,3.721263658410806498e-04,-3.369424971787121138e-05,3.815316016877676265e-06,3.548644462418761155e-06,7.363960479296437420e-06
