wake_forward_response,doppler_forward_response
-9.935707132793744067e-01,1.029096877632875717e+00
-5.210136690888895750e-01,6.885033818222320301e-01
-9.483456008763287148e-02,3.266406424633936934e-01
-2.614226125200791104e-02,2.231479209615020720e-01
-4.541458872624495186e-02,1.924179201116059945e-01
-3.409945556953624876e-03,1.226475366432521336e-01
-8.674416538614605487e-01,9.552186209212393253e-01
-4.473394774161842946e-01,6.358775825401903337e-01
-7.726366269452741853e-02,3.015299321018259371e-01
-2.055006724600627263e-02,2.022489946709222497e-01
-3.852506389621577348e-02,1.737739213129682048e-01
-2.832250215765659378e-03,1.089330248927001532e-01
-7.187321695989840054e-01,9.105840735890005089e-01
-3.676428049294251932e-01,6.056355541151817734e-01
-5.961177025994138928e-02,2.842033289183836797e-01
-1.564122207979335225e-02,1.904819453157619025e-01
-3.122636052401161696e-02,1.613072268156581779e-01
-2.387103607284207091e-03,1.002358480483844100e-01
