zlo,zhi,z_effective,s_Mpc_over_h,xi0_proxy,xi1_proxy_odd
1.000000000000000056e-01,2.000000000000000111e-01,1.596437439109743839e-01,3.000000000000000000e+01,8.990270968555819087e-02,-3.406193522843648652e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.596437439109743839e-01,5.000000000000000000e+01,1.988111507843620673e-02,5.700476190531236949e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.596437439109743839e-01,7.000000000000000000e+01,2.031844783715763478e-02,8.170457238437020889e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.596437439109743839e-01,9.000000000000000000e+01,1.394476228847605324e-03,-6.604298209108013656e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.596437439109743839e-01,1.100000000000000000e+02,7.074888389118729089e-03,6.774403270467866008e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.596437439109743839e-01,1.300000000000000000e+02,-1.305872567194644790e-03,4.911253138415847333e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.557634314844996481e-01,3.000000000000000000e+01,8.496121463911041061e-02,-6.248108095628542892e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.557634314844996481e-01,5.000000000000000000e+01,2.009605085020961870e-02,3.764114166953476046e-04
2.000000000000000111e-01,2.999999999999999889e-01,2.557634314844996481e-01,7.000000000000000000e+01,-1.080718376900613356e-04,-5.574670097463724043e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.557634314844996481e-01,9.000000000000000000e+01,-8.121218370190203505e-04,-8.996782717304715736e-06
2.000000000000000111e-01,2.999999999999999889e-01,2.557634314844996481e-01,1.100000000000000000e+02,4.349969232961532414e-03,2.492584131776074373e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.557634314844996481e-01,1.300000000000000000e+02,-2.617084003984463791e-03,-5.905598258623795740e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537598818903407438e-01,3.000000000000000000e+01,9.318905321726637936e-02,1.601800870948037747e-02
2.999999999999999889e-01,4.000000000000000222e-01,3.537598818903407438e-01,5.000000000000000000e+01,2.107655505868450546e-02,-4.491944325997885255e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537598818903407438e-01,7.000000000000000000e+01,1.292343906971526318e-02,1.501059886516908611e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537598818903407438e-01,9.000000000000000000e+01,5.172269245734165827e-03,8.750362332527777259e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537598818903407438e-01,1.100000000000000000e+02,5.249998224563964290e-03,5.606904795389116994e-04
2.999999999999999889e-01,4.000000000000000222e-01,3.537598818903407438e-01,1.300000000000000000e+02,-1.628953904716524612e-03,1.077242735759648910e-03
