wake_forward_response,doppler_forward_response
-9.776233744882802945e-01,1.012656251181052625e+00
-5.095388031298758724e-01,6.763099842444589838e-01
-9.265715045182651433e-02,3.211508143630888434e-01
-2.558750805138925583e-02,2.189187418304117394e-01
-4.457907139557629184e-02,1.889918558011715599e-01
-3.304110034452066927e-03,1.198854757637399515e-01
-8.721325056867412773e-01,9.601007046310316984e-01
-4.486142324924674019e-01,6.370717618126023885e-01
-7.677035473231995366e-02,2.999266364360578807e-01
-2.056482464937970864e-02,2.017814987502342394e-01
-3.816440573618851834e-02,1.721226360424328028e-01
-2.822896201006671029e-03,1.088628325125726160e-01
-7.265498653428169584e-01,9.201754231130131467e-01
-3.702837695750309521e-01,6.099317273509690107e-01
-6.028367997251709437e-02,2.863796861553820072e-01
-1.564518813714953216e-02,1.907628539581191496e-01
-3.133850863317542285e-02,1.618778615857781322e-01
-2.375710001028456895e-03,1.008393492435064043e-01
