zlo,zhi,z_effective,s_Mpc_over_h,xi0_proxy,xi1_proxy_odd
1.000000000000000056e-01,2.000000000000000111e-01,1.601961104973552430e-01,3.000000000000000000e+01,9.121384188129616488e-02,-2.708954860921168259e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.601961104973552430e-01,5.000000000000000000e+01,2.678006857363805088e-02,1.964764184535196939e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.601961104973552430e-01,7.000000000000000000e+01,9.350407654505756699e-03,3.818096212630069358e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.601961104973552430e-01,9.000000000000000000e+01,5.186111913679276528e-03,1.355738157612977439e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.601961104973552430e-01,1.100000000000000000e+02,-5.035574319784187972e-03,-6.893751916966007511e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.601961104973552430e-01,1.300000000000000000e+02,-1.833684972574703854e-03,4.051305889131959735e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.555657839690171351e-01,3.000000000000000000e+01,1.080365566531707316e-01,9.523027147083163238e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.555657839690171351e-01,5.000000000000000000e+01,2.426684351236466433e-02,-7.545723742295554724e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.555657839690171351e-01,7.000000000000000000e+01,-5.684055089312318098e-04,4.605956533007919511e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.555657839690171351e-01,9.000000000000000000e+01,5.897550656576760510e-03,-5.853041448860157175e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.555657839690171351e-01,1.100000000000000000e+02,1.815352725269530200e-04,2.643047190555437246e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.555657839690171351e-01,1.300000000000000000e+02,-3.820458243021939912e-03,5.181480032118545263e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538433861417070170e-01,3.000000000000000000e+01,9.668532158328964343e-02,5.344716143318815373e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538433861417070170e-01,5.000000000000000000e+01,1.471266811660685084e-02,2.986413973547940876e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538433861417070170e-01,7.000000000000000000e+01,2.788971495737422365e-03,-1.001359408701995701e-04
2.999999999999999889e-01,4.000000000000000222e-01,3.538433861417070170e-01,9.000000000000000000e+01,5.440509339327330614e-03,5.398359386885129979e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538433861417070170e-01,1.100000000000000000e+02,1.506660503436354614e-03,-6.474825434080461704e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.538433861417070170e-01,1.300000000000000000e+02,-8.995893650835869605e-04,-4.901501174612400008e-03
