wake_forward_response,doppler_forward_response
-1.003468709450722196e+00,1.038988943679189259e+00
-5.230311638347994174e-01,6.923695017798365825e-01
-9.500636963295537585e-02,3.296571974012031947e-01
-2.626670985148063173e-02,2.245062806251286180e-01
-4.516898412244448047e-02,1.915715157516103273e-01
-3.437344488907328414e-03,1.206967273948410524e-01
-8.821194317002365448e-01,9.710960843793877695e-01
-4.511271750130297353e-01,6.411948506946010262e-01
-7.785577029209557465e-02,3.046564785638684048e-01
-2.074423374806489556e-02,2.046799643797081458e-01
-3.852351496784083007e-02,1.737156137044015003e-01
-2.877232898513618943e-03,1.094667206192498909e-01
-7.325949111823428783e-01,9.273890666429969176e-01
-3.697674887911850394e-01,6.093354391502637801e-01
-6.057314128013935317e-02,2.870940057780267951e-01
-1.577503855827636081e-02,1.924046931228175494e-01
-3.139331427040731315e-02,1.621632961596592426e-01
-2.390294520398079936e-03,1.014718601386208757e-01
