zlo,zhi,z_effective,s_Mpc_over_h,xi0_proxy,xi1_proxy_odd
1.000000000000000056e-01,2.000000000000000111e-01,1.598042740608948131e-01,3.000000000000000000e+01,7.998615848554897767e-02,1.075804438373408230e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.598042740608948131e-01,5.000000000000000000e+01,2.913001871750159344e-02,5.142072608797101409e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.598042740608948131e-01,7.000000000000000000e+01,2.311386986614670080e-03,1.205343903813257261e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.598042740608948131e-01,9.000000000000000000e+01,4.941275343231923099e-03,-5.741956730584711101e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.598042740608948131e-01,1.100000000000000000e+02,2.982662544290101345e-03,-1.923136474817862965e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.598042740608948131e-01,1.300000000000000000e+02,1.965852177982548975e-04,8.814025422796974802e-04
2.000000000000000111e-01,2.999999999999999889e-01,2.554876362503002429e-01,3.000000000000000000e+01,1.008949207898223732e-01,5.642248466139943366e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.554876362503002429e-01,5.000000000000000000e+01,2.677282345984864295e-02,3.983831951597505833e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.554876362503002429e-01,7.000000000000000000e+01,7.415371564620628492e-03,4.452959328339178152e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.554876362503002429e-01,9.000000000000000000e+01,1.156133467849698162e-03,5.977619889377536015e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.554876362503002429e-01,1.100000000000000000e+02,5.773735279472280713e-03,-2.519390044674957134e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.554876362503002429e-01,1.300000000000000000e+02,-5.936098395607790346e-03,-1.092688400884201348e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.536419217673987259e-01,3.000000000000000000e+01,1.089483145410675285e-01,-1.172027031095191664e-02
2.999999999999999889e-01,4.000000000000000222e-01,3.536419217673987259e-01,5.000000000000000000e+01,2.555930856628034833e-02,-2.534630248245144882e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.536419217673987259e-01,7.000000000000000000e+01,1.134417211254795492e-02,-1.432780835770053026e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.536419217673987259e-01,9.000000000000000000e+01,4.282423307830827280e-03,2.023343676551126250e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.536419217673987259e-01,1.100000000000000000e+02,2.537376820318566154e-03,-3.964260310588569453e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.536419217673987259e-01,1.300000000000000000e+02,1.059459512701705074e-04,6.292213095869385623e-04
