wake_forward_response,doppler_forward_response
-9.960855508472917785e-01,1.031376321047221545e+00
-5.261012667874115367e-01,6.960969046577305530e-01
-9.314728194001332950e-02,3.244181571106904971e-01
-2.619355236785645205e-02,2.226142076806816028e-01
-4.554367018598218936e-02,1.929727345108983860e-01
-3.321967039628915055e-03,1.227233432182259221e-01
-8.656171869469522218e-01,9.528684001852005814e-01
-4.478921022590778289e-01,6.362353953899226866e-01
-7.612060649190399708e-02,2.974077075424512717e-01
-2.048443422173533077e-02,2.019155885430775343e-01
-3.790431285273618278e-02,1.710150364254692523e-01
-2.837376362814533585e-03,1.088001995379093562e-01
-7.329016032070133635e-01,9.282843460425376225e-01
-3.695320004204458719e-01,6.091986542158686069e-01
-6.006333654681177137e-02,2.852094128822592056e-01
-1.571977063405236366e-02,1.915590064975642437e-01
-3.127172155314539292e-02,1.615533874184912344e-01
-2.371282671726593783e-03,1.008808541662647162e-01
