wake_forward_response,doppler_forward_response
-9.925098916685207717e-01,1.028205272842395157e+00
-5.233304933734325148e-01,6.932517755851641539e-01
-9.547651376444914184e-02,3.294469357684077226e-01
-2.600723223019838978e-02,2.221801234179391071e-01
-4.495336015353786074e-02,1.905930889226297720e-01
-3.308393890357901740e-03,1.192326414313647082e-01
-8.805519450854556451e-01,9.693754293392317090e-01
-4.494159423862097991e-01,6.390480223819355876e-01
-7.703936310605682958e-02,3.023601417620988552e-01
-2.064580164675648005e-02,2.034678746312841013e-01
-3.841764841764687410e-02,1.733127058935366449e-01
-2.862246593534711978e-03,1.096568667401719155e-01
-7.266065189132174806e-01,9.201212277926853478e-01
-3.671011825988388377e-01,6.047062557599173216e-01
-5.987273608970236638e-02,2.840430465646172076e-01
-1.554552254324874372e-02,1.893932446393257751e-01
-3.117757474127917303e-02,1.610283716731738812e-01
-2.361865165440108980e-03,9.996414835582657921e-02
