zlo,zhi,z_effective,s_Mpc_over_h,xi0_proxy,xi1_proxy_odd
1.000000000000000056e-01,2.000000000000000111e-01,1.598573446955420252e-01,3.000000000000000000e+01,1.096503129710093699e-01,-2.266357517721054315e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.598573446955420252e-01,5.000000000000000000e+01,1.490587522747601965e-02,-8.792378366008036378e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.598573446955420252e-01,7.000000000000000000e+01,3.602807884393053554e-03,6.452686011086996784e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.598573446955420252e-01,9.000000000000000000e+01,3.421855808152083570e-03,-1.288656114668019180e-02
1.000000000000000056e-01,2.000000000000000111e-01,1.598573446955420252e-01,1.100000000000000000e+02,-7.313105692694422955e-03,1.094675941754776408e-03
1.000000000000000056e-01,2.000000000000000111e-01,1.598573446955420252e-01,1.300000000000000000e+02,1.205428429926110479e-03,-1.116753069022204808e-02
2.000000000000000111e-01,2.999999999999999889e-01,2.558425380344603317e-01,3.000000000000000000e+01,9.779477488580567979e-02,-1.533398628864028265e-02
2.000000000000000111e-01,2.999999999999999889e-01,2.558425380344603317e-01,5.000000000000000000e+01,1.688068800849789122e-02,-4.419324435970429545e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.558425380344603317e-01,7.000000000000000000e+01,6.600850567105697592e-03,-4.216619107567550796e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.558425380344603317e-01,9.000000000000000000e+01,1.870111616565971278e-03,-1.176318589606846401e-03
2.000000000000000111e-01,2.999999999999999889e-01,2.558425380344603317e-01,1.100000000000000000e+02,2.435519358671073449e-03,-2.781464965700756366e-05
2.000000000000000111e-01,2.999999999999999889e-01,2.558425380344603317e-01,1.300000000000000000e+02,-1.961278174367193320e-03,2.736421432257749725e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537265839281026891e-01,3.000000000000000000e+01,9.043399522190907758e-02,4.322593516016453967e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537265839281026891e-01,5.000000000000000000e+01,1.888953728568301682e-02,2.381241307672981363e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537265839281026891e-01,7.000000000000000000e+01,4.708658906341246959e-03,-1.539765718780003413e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537265839281026891e-01,9.000000000000000000e+01,1.758862486522314169e-04,-2.223962990227007497e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537265839281026891e-01,1.100000000000000000e+02,8.068029827009962247e-04,4.682946932718854739e-03
2.999999999999999889e-01,4.000000000000000222e-01,3.537265839281026891e-01,1.300000000000000000e+02,1.826786403151991990e-03,-4.430394534041048188e-03
